,Name,Brand,Price,Body,Transmission,Number Of Seats,Segment,Introduction,Drive,Drive System,Fuel,Cylinder Capacity,Max Power Hp,Max Torque,Fuel System,Valve Actuation,Turbo,Fuel Tank,Top Speed,Energy Label,Front Stabilizer,Rear Stabilizer,Num_doors,Dt_Transmission
4243,BMW 316,BMW,15887.0, sedan,5.0,5,d,1983,rear,fuel engine,gasoline,2.0,90.0,140.0,carburettor,ohc,no,55.0,175.0,,yes,no,4,manual transmission
4244,BMW 316IN,BMW,20851.0, sedan,5.0,5,d,1993,rear,fuel engine,gasoline,2.0,99.0,141.0,multipoint injection,ohc,no,65.0,191.0,,yes,no,4,manual transmission
4245,BMW 316I,BMW,28044.0, sedan,5.0,5,d,1999,rear,fuel engine,gasoline,2.0,105.0,165.0,multipoint injection,ohc,no,63.0,200.0,g,yes,yes,4,manual transmission
4246,BMW 316I,BMW,29140.0, sedan,5.0,5,d,2001,rear,fuel engine,gasoline,2.0,105.0,165.0,multipoint injection,ohc,no,63.0,200.0,g,yes,yes,4,manual transmission
4247,BMW 316I,BMW,32950.0, sedan,6.0,5,d,2008,rear,fuel engine,gasoline,4.0,122.0,160.0,direct injection,dohc,no,63.0,210.0,d,yes,yes,4,manual transmission
4248,BMW 316I,BMW,33100.0, sedan,6.0,5,d,2008,rear,fuel engine,gasoline,4.0,122.0,160.0,direct injection,dohc,no,63.0,210.0,e,yes,yes,4,manual transmission
4249,BMW 316I,BMW,33700.0, sedan,6.0,5,d,2012,rear,fuel engine,gasoline,4.0,136.0,220.0,direct injection,dohc,yes,60.0,210.0,c,yes,yes,4,manual transmission
4250,BMW 316I TOURING,BMW,22666.0, station wagon,5.0,5,d,1991,rear,fuel engine,gasoline,2.0,99.0,141.0,multipoint injection,ohc,no,62.0,179.0,,yes,yes,5,manual transmission
4251,BMW 316I TOURING,BMW,26728.0, station wagon,5.0,5,d,1997,rear,fuel engine,gasoline,2.0,102.0,150.0,multipoint injection,ohc,no,65.0,191.0,g,yes,yes,5,manual transmission
4252,BMW 318I TOURING,BMW,32581.0, station wagon,5.0,5,d,1999,rear,fuel engine,gasoline,2.0,118.0,180.0,multipoint injection,ohc,no,63.0,202.0,g,yes,yes,5,manual transmission
4253,BMW 316I TOURING ESSENCE,BMW,31600.0, station wagon,5.0,5,d,2003,rear,fuel engine,gasoline,4.0,115.0,175.0,multipoint injection,dohc,no,63.0,200.0,g,yes,yes,5,manual transmission
4254,BMW 318I TOURING,BMW,36300.0, station wagon,6.0,5,d,2006,rear,fuel engine,gasoline,4.0,129.0,180.0,multipoint injection,dohc,no,63.0,206.0,g,yes,yes,5,manual transmission
4255,BMW 316I TOURING,BMW,36055.0, station wagon,6.0,5,d,2008,rear,fuel engine,gasoline,4.0,122.0,160.0,direct injection,dohc,no,63.0,205.0,e,yes,yes,5,manual transmission
4256,BMW 316I TOURING,BMW,35829.0, station wagon,6.0,5,d,2013,rear,fuel engine,gasoline,4.0,136.0,220.0,direct injection,dohc,yes,60.0,210.0,d,yes,yes,5,manual transmission
4257,BMW 316I COUPE,BMW,26750.0, coupé,5.0,5,g,1993,rear,fuel engine,gasoline,2.0,102.0,150.0,multipoint injection,ohc,no,65.0,195.0,,yes,yes,2,manual transmission
4258,BMW 318CI,BMW,32491.0, coupé,5.0,5,g,1999,rear,fuel engine,gasoline,2.0,118.0,180.0,multipoint injection,ohc,no,63.0,206.0,g,yes,yes,2,manual transmission
4259,BMW 318CI,BMW,38250.0, coupé,5.0,5,g,2003,rear,fuel engine,gasoline,4.0,143.0,200.0,multipoint injection,dohc,no,63.0,218.0,g,yes,yes,2,manual transmission
4260,BMW 320I COUPE CORPORATE LEASE,BMW,38440.0, coupé,6.0,5,g,2009,rear,fuel engine,gasoline,4.0,163.0,210.0,multipoint injection,dohc,no,63.0,230.0,e,yes,yes,2,manual transmission
4261,BMW 320I COUPE CORPORATE LEASE,BMW,39990.0, coupé,6.0,5,g,2010,rear,fuel engine,gasoline,4.0,163.0,210.0,multipoint injection,dohc,no,63.0,230.0,e,yes,yes,2,manual transmission
4262,BMW 318I CABRIO,BMW,31594.0, convertible,5.0,5,g,1990,rear,fuel engine,gasoline,2.0,113.0,162.0,multipoint injection,ohc,no,55.0,187.0,,yes,yes,2,manual transmission
4263,BMW 318I CABRIO,BMW,37596.0, convertible,5.0,4,g,1994,rear,fuel engine,gasoline,2.0,115.0,168.0,multipoint injection,ohc,no,65.0,194.0,g,yes,yes,2,manual transmission
4264,BMW 318CI CABRIO,BMW,43400.0, convertible,5.0,5,g,2001,rear,fuel engine,gasoline,4.0,143.0,200.0,multipoint injection,dohc,no,63.0,206.0,g,yes,yes,2,manual transmission
